losses,metrics,optimizers,actovatons1,actovatons2,acc,ture_acc
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993591830134,0.9681
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991941854358,0.9608
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965000038346,0.9672
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958333355685,0.9568
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991375175615,0.9584
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978008491298,0.8535
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.95725004375,0.9606
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.950083360076,0.9495
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993216839929,0.9656
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991575186451,0.9553
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967416703701,0.968
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.960416704416,0.9533
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993091819187,0.9667
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992183506489,0.9584
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966416694224,0.9666
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.957250041266,0.956
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991825175782,0.9602
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.980333509545,0.8602
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.957500047982,0.9583
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.946666695178,0.9511
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993225157261,0.9668
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.99184182783,0.9571
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964333382746,0.9694
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.956916707257,0.9561
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99347517391,0.9671
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992075160146,0.9584
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964583362142,0.9656
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959750046333,0.9585
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991975160937,0.9617
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.98972517252,0.9472
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.957000042001,0.9595
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.857750025888,0.8584
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.994016828636,0.9687
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992083492378,0.9588
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.96433335791,0.9682
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958750041823,0.954
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992891848087,0.9708
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991891848544,0.9528
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966666710873,0.9646
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958416695396,0.9553
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991416831811,0.9593
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.979100160301,0.8575
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.955166699986,0.9547
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.950500033796,0.9504
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993300174673,0.9679
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.9918085138,0.9527
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.968333370984,0.9702
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958250038326,0.9549
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993200190365,0.969
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992150187492,0.9548
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966583386064,0.9738
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958583364884,0.9596
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992350161076,0.9605
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978683489064,0.8597
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958166686197,0.9585
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.857416684429,0.8583
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993433487912,0.9697
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992366828024,0.9577
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.968583372732,0.9735
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958833369116,0.9614
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993308511873,0.9708
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991708494723,0.9551
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.964333372811,0.9686
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959083378315,0.9525
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992100161811,0.9602
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.978075154126,0.8594
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958583372335,0.9609
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.948000043631,0.9513
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.99338350445,0.9716
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.992166849474,0.9535
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967250041664,0.9672
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.958583387236,0.9595
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993166834116,0.968
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991733493904,0.9585
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.965333382289,0.9681
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959166688224,0.9532
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.992041831215,0.9574
'categorical_hinge', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.990733511746,0.9524
'categorical_hinge', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.958916708827,0.9567
'categorical_hinge', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.949916710456,0.9529
'poisson', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993400163949,0.97
'poisson', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991975180805,0.9568
'poisson', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.967666715384,0.9718
'poisson', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.959750038882,0.9578
'categorical_crossentropy', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.993008496861,0.9655
'categorical_crossentropy', 'binary_accuracy', 'adamax', 'tanh', 'softmax',0.991758495569,0.9615
'categorical_crossentropy', 'categorical_accuracy', 'rmsprop', 'tanh', 'softmax',0.966500038902,0.9671
'categorical_crossentropy', 'categorical_accuracy', 'adamax', 'tanh', 'softmax',0.956000027557,0.9555
'categorical_hinge', 'binary_accuracy', 'rmsprop', 'tanh', 'softmax',0.991750160853,0.9593
