fun,acc,ture_acc
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991833500564,0.9572
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969166696072,0.9669
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993733490507,0.9694
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.99175850302,0.9602
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991325169802,0.9573
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965833373368,0.9648
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993475181361,0.9704
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991183494528,0.9606
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991333499551,0.9547
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969166710973,0.9719
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993541839222,0.9656
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.992166834573,0.9629
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991141830881,0.9562
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.967083364725,0.9677
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993475154042,0.9694
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.99185017248,0.9584
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991183499495,0.9528
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.967166711887,0.9681
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993216827512,0.9689
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991608505448,0.9575
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990491847197,0.9595
'categorical_crossentropy''categorical_accuracy''rmsprop''tanh''softmax',0.970250035326,0.9694
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.955666718384,0.9569
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.991216843327,0.9557
'categorical_crossentropy''binary_accuracy''rmsprop''tanh''softmax',0.993633498748,0.9681
'categorical_crossentropy''categorical_accuracy''rmsprop''tanh''softmax',0.968416705728,0.9694
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.952166701357,0.9521
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.991366838415,0.9543
'categorical_crossentropy''binary_accuracy''rmsprop''tanh''softmax',0.993491833409,0.9698
'categorical_crossentropy''categorical_accuracy''rmsprop''tanh''softmax',0.96683336546,0.9674
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.958250030875,0.9596
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.990700172881,0.9569
'categorical_crossentropy''binary_accuracy''rmsprop''tanh''softmax',0.992725166182,0.9635
'categorical_crossentropy''categorical_accuracy''rmsprop''tanh''softmax',0.965250042578,0.9631
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.952583362659,0.9544
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.990575184425,0.9542
'categorical_crossentropy''binary_accuracy''rmsprop''tanh''softmax',0.993208505213,0.9707
'categorical_crossentropy''categorical_accuracy''rmsprop''tanh''softmax',0.966666695972,0.9671
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.955750035743,0.9569
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.991108492017,0.9529
'categorical_crossentropy''binary_accuracy''rmsprop''tanh''softmax',0.993033510943,0.9708
'categorical_crossentropy''categorical_accuracy''rmsprop''tanh''softmax',0.967583378156,0.9668
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.957250038783,0.9578
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.99100017796,0.9583
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993466846645,0.9658
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.992108511428,0.9581
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.99040017277,0.9586
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.966916702688,0.9698
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993683487177,0.9718
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991808503866,0.9606
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991083507737,0.9539
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965916708112,0.9681
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993375169734,0.9654
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991600168248,0.9609
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.99048350503,0.9556
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.95691669484,0.9555
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.991666838527,0.9592
'categorical_crossentropy''binary_accuracy''rmsprop''tanh''softmax',0.993058495224,0.962
'categorical_crossentropy''categorical_accuracy''rmsprop''tanh''softmax',0.967250049114,0.9665
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.95566670845,0.9564
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.991491836806,0.9592
'categorical_crossentropy''categorical_accuracy''rmsprop''tanh''softmax',0.964833363891,0.9655
'poisson''categorical_accuracy''rmsprop''sigmoid''softmax',0.955250037213,0.9594
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.991716824472,0.9594
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991208513578,0.9556
'categorical_crossentropy''binary_accuracy''rmsprop''sigmoid''softmax',0.99144183596,0.9583
